form,ingr,month,revenue
Gummy,Sea_Moss,may,0.238713
Softgels,Sea_Moss,may,0.063404
Tablets,Sea_Moss,may,0.331757
Capsules,Sea_Moss,may,1.023501
Powder,Sea_Moss,may,0.628281
Other,Sea_Moss,may,0.022127
Gummy,ACV,may,3.70685
Softgels,ACV,may,0.0
Tablets,ACV,may,0.045067
Capsules,ACV,may,2.486935
Powder,ACV,may,0.250996
Other,ACV,may,0.0
Gummy,Copper,may,0.0
Softgels,Copper,may,0.158955
Tablets,Copper,may,1.06183
Capsules,Copper,may,1.135291
Powder,Copper,may,0.0
Other,Copper,may,0.000976
Gummy,Manganese,may,0.0
Softgels,Manganese,may,0.0
Tablets,Manganese,may,1.0368463049999999
Capsules,Manganese,may,0.82019
Powder,Manganese,may,0.12771
Other,Manganese,may,0.013022
Gummy,Potassium,may,0.158141
Softgels,Potassium,may,0.150879
Tablets,Potassium,may,1.16832
Capsules,Potassium,may,1.5470408228571428
Powder,Potassium,may,4.14492961
Other,Potassium,may,0.053999
Gummy,Melatonin,may,0.046901
Softgels,Melatonin,may,0.0
Tablets,Melatonin,may,1.055636
Capsules,Melatonin,may,0.667027
Powder,Melatonin,may,0.001914
Other,Melatonin,may,0.0
Gummy,Ashwagandha,may,1.592014
Softgels,Ashwagandha,may,0.029758
Tablets,Ashwagandha,may,0.270238
Capsules,Ashwagandha,may,4.247399231111111
Powder,Ashwagandha,may,1.9314534399999999
Other,Ashwagandha,may,0.043293
Gummy,Collagen,may,1.313573
Softgels,Collagen,may,0.15128
Tablets,Collagen,may,1.004349
Capsules,Collagen,may,5.099015
Powder,Collagen,may,13.934642
Other,Collagen,may,0.02841766
Gummy,Red Weed,may,0.080413
Softgels,Red Weed,may,0.0
Tablets,Red Weed,may,0.0
Capsules,Red Weed,may,0.101186
Powder,Red Weed,may,0.180333
Other,Red Weed,may,0.009554
Gummy,Greens,may,0.461143
Softgels,Greens,may,1.051854
Tablets,Greens,may,2.0455228500000002
Capsules,Greens,may,4.983008028571429
Powder,Greens,may,6.6319613825
Other,Greens,may,0.094668
Gummy,Greens_Broccoli,may,0.44371
Softgels,Greens_Broccoli,may,0.0
Tablets,Greens_Broccoli,may,0.813341
Capsules,Greens_Broccoli,may,0.574375
Powder,Greens_Broccoli,may,0.360519
Other,Greens_Broccoli,may,0.0
Gummy,Greens_Barley,may,0.0
Softgels,Greens_Barley,may,0.0
Tablets,Greens_Barley,may,0.320306
Capsules,Greens_Barley,may,0.12128
Powder,Greens_Barley,may,0.629259
Other,Greens_Barley,may,0.0
Gummy,Greens_Collard,may,0.0
Softgels,Greens_Collard,may,0.0
Tablets,Greens_Collard,may,0.0
Capsules,Greens_Collard,may,0.0
Powder,Greens_Collard,may,0.0
Other,Greens_Collard,may,0.0
Gummy,Greens_Chlorella,may,0.0
Softgels,Greens_Chlorella,may,0.082497
Tablets,Greens_Chlorella,may,0.688328
Capsules,Greens_Chlorella,may,0.601192
Powder,Greens_Chlorella,may,1.53073525
Other,Greens_Chlorella,may,0.0
Gummy,Greens_Spirulina,may,0.0
Softgels,Greens_Spirulina,may,0.0
Tablets,Greens_Spirulina,may,0.738777
Capsules,Greens_Spirulina,may,0.873649
Powder,Greens_Spirulina,may,3.690565
Other,Greens_Spirulina,may,0.0
Gummy,Greens_Spinach,may,0.44371
Softgels,Greens_Spinach,may,0.0
Tablets,Greens_Spinach,may,0.54035
Capsules,Greens_Spinach,may,0.963352
Powder,Greens_Spinach,may,0.393679
Other,Greens_Spinach,may,0.043005
Gummy,Greens_Kale,may,0.44371
Softgels,Greens_Kale,may,0.0
Tablets,Greens_Kale,may,0.430522
Capsules,Greens_Kale,may,0.969296
Powder,Greens_Kale,may,0.425797
Other,Greens_Kale,may,0.005835
Gummy,Greens_Wheatgrass,may,0.0
Softgels,Greens_Wheatgrass,may,0.0
Tablets,Greens_Wheatgrass,may,0.226446
Capsules,Greens_Wheatgrass,may,0.061353
Powder,Greens_Wheatgrass,may,1.323998
Other,Greens_Wheatgrass,may,0.0
Gummy,Greens_alfa,may,0.0
Softgels,Greens_alfa,may,0.0
Tablets,Greens_alfa,may,0.37289985
Capsules,Greens_alfa,may,0.5987470285714285
Powder,Greens_alfa,may,0.074301
Other,Greens_alfa,may,0.003523
Gummy,Greens_Chlorophyll,may,0.0
Softgels,Greens_Chlorophyll,may,0.0
Tablets,Greens_Chlorophyll,may,0.0
Capsules,Greens_Chlorophyll,may,0.0
Powder,Greens_Chlorophyll,may,0.0
Other,Greens_Chlorophyll,may,0.0
Gummy,Artichoke,may,0.0
Softgels,Artichoke,may,0.006117
Tablets,Artichoke,may,0.140938
Capsules,Artichoke,may,1.0822134096825398
Powder,Artichoke,may,0.138592
Other,Artichoke,may,0.003222
Gummy,Brown Weed,may,0.06079
Softgels,Brown Weed,may,0.082497
Tablets,Brown Weed,may,0.793754
Capsules,Brown Weed,may,0.631215
Powder,Brown Weed,may,0.189422
Other,Brown Weed,may,0.046903
Gummy,Omega3,may,5.44425038
Softgels,Omega3,may,13.62729425
Tablets,Omega3,may,0.451428
Capsules,Omega3,may,4.331005
Powder,Omega3,may,0.232022
Other,Omega3,may,0.13064
Gummy,Hemp,may,1.021497
Softgels,Hemp,may,0.032811
Tablets,Hemp,may,0.0
Capsules,Hemp,may,0.096364
Powder,Hemp,may,0.044562
Other,Hemp,may,0.0
Gummy,Resveratrol,may,0.0
Softgels,Resveratrol,may,0.045542
Tablets,Resveratrol,may,0.446741
Capsules,Resveratrol,may,1.91737476
Powder,Resveratrol,may,0.212083
Other,Resveratrol,may,0.008493
Gummy,Black_cohosh,may,0.3506
Softgels,Black_cohosh,may,0.0
Tablets,Black_cohosh,may,0.002629
Capsules,Black_cohosh,may,0.3135145466666666
Powder,Black_cohosh,may,0.0
Other,Black_cohosh,may,0.0
Gummy,Mushrooms,may,0.0
Softgels,Mushrooms,may,0.007982
Tablets,Mushrooms,may,0.633967
Capsules,Mushrooms,may,2.726014
Powder,Mushrooms,may,1.253547
Other,Mushrooms,may,0.035515
Gummy,Superfruits,may,3.227764
Softgels,Superfruits,may,0.004096
Tablets,Superfruits,may,0.074639
Capsules,Superfruits,may,2.1441377599999996
Powder,Superfruits,may,1.01362295
Other,Superfruits,may,0.016079
Gummy,B9,may,3.034823
Softgels,B9,may,0.544223
Tablets,B9,may,3.612128
Capsules,B9,may,8.57878
Powder,B9,may,0.103613
Other,B9,may,0.053934
Gummy,B7,may,4.110547
Softgels,B7,may,0.964043
Tablets,B7,may,2.18612768
Capsules,B7,may,4.792813
Powder,B7,may,0.398832
Other,B7,may,0.028972
Gummy,B12,may,9.967368492
Softgels,B12,may,0.510275
Tablets,B12,may,5.429919
Capsules,B12,may,7.940363
Powder,B12,may,0.384929
Other,B12,may,0.551324
Gummy,B5,may,0.341902
Softgels,B5,may,0.23576
Tablets,B5,may,1.461451
Capsules,B5,may,2.838835
Powder,B5,may,0.016996
Other,B5,may,0.0
Gummy,B6,may,3.940031
Softgels,B6,may,0.017498
Tablets,B6,may,1.88503
Capsules,B6,may,5.451704
Powder,B6,may,0.094182
Other,B6,may,0.495319
Gummy,B3,may,0.140502
Softgels,B3,may,0.098361
Tablets,B3,may,2.144899
Capsules,B3,may,5.047771
Powder,B3,may,0.741032
Other,B3,may,0.018409
Gummy,B2,may,0.043259
Softgels,B2,may,0.116323
Tablets,B2,may,1.877432
Capsules,B2,may,3.26098
Powder,B2,may,0.00894
Other,B2,may,0.056027
Gummy,B8,may,0.226424
Softgels,B8,may,0.0
Tablets,B8,may,1.275975
Capsules,B8,may,2.10266898
Powder,B8,may,0.582624
Other,B8,may,0.013372
Gummy,Phosphatidylserine,may,0.475501
Softgels,Phosphatidylserine,may,1.151277
Tablets,Phosphatidylserine,may,0.0
Capsules,Phosphatidylserine,may,1.57509
Powder,Phosphatidylserine,may,0.010077
Other,Phosphatidylserine,may,0.006533
Gummy,Gaba,may,0.0
Softgels,Gaba,may,0.0
Tablets,Gaba,may,0.044138
Capsules,Gaba,may,0.131201
Powder,Gaba,may,0.001914
Other,Gaba,may,0.025851
Gummy,Black Pepper,may,0.215522
Softgels,Black Pepper,may,0.107013
Tablets,Black Pepper,may,0.343038
Capsules,Black Pepper,may,6.3403559777777785
Powder,Black Pepper,may,1.40482844
Other,Black Pepper,may,0.016106
Gummy,Fenugreek,may,0.0
Softgels,Fenugreek,may,0.0
Tablets,Fenugreek,may,0.0
Capsules,Fenugreek,may,0.165013
Powder,Fenugreek,may,0.182411
Other,Fenugreek,may,0.0
Gummy,Cinnamon,may,0.011994
Softgels,Cinnamon,may,0.029261
Tablets,Cinnamon,may,0.195192
Capsules,Cinnamon,may,1.429248
Powder,Cinnamon,may,0.185705
Other,Cinnamon,may,0.014395
Gummy,Garlic,may,0.44371
Softgels,Garlic,may,0.301109
Tablets,Garlic,may,0.488342
Capsules,Garlic,may,1.581677
Powder,Garlic,may,0.0
Other,Garlic,may,0.007552
Gummy,Turmeric|Curcumin,may,0.623298
Softgels,Turmeric|Curcumin,may,1.096725
Tablets,Turmeric|Curcumin,may,1.591579
Capsules,Turmeric|Curcumin,may,11.264355775238096
Powder,Turmeric|Curcumin,may,0.770419
Other,Turmeric|Curcumin,may,0.009832
Gummy,Elderberry,may,3.148078
Softgels,Elderberry,may,0.004096
Tablets,Elderberry,may,0.074639
Capsules,Elderberry,may,1.692152
Powder,Elderberry,may,0.686852
Other,Elderberry,may,0.0
Gummy,Echinacea,may,0.791625
Softgels,Echinacea,may,0.017048
Tablets,Echinacea,may,0.385325
Capsules,Echinacea,may,1.013585
Powder,Echinacea,may,0.083059
Other,Echinacea,may,0.0
Gummy,Milk_Thistle,may,0.0
Softgels,Milk_Thistle,may,0.153218
Tablets,Milk_Thistle,may,0.049531
Capsules,Milk_Thistle,may,3.1683330396825395
Powder,Milk_Thistle,may,0.501763
Other,Milk_Thistle,may,0.014595
Gummy,Omega6,may,0.025344
Softgels,Omega6,may,0.90700502
Tablets,Omega6,may,0.176688
Capsules,Omega6,may,3.352544
Powder,Omega6,may,0.7238875971428571
Other,Omega6,may,0.130368
Gummy,Magnesium,may,0.669956
Softgels,Magnesium,may,0.484497
Tablets,Magnesium,may,3.854315
Capsules,Magnesium,may,9.563235713333333
Powder,Magnesium,may,3.1166316099999998
Other,Magnesium,may,0.056357
Gummy,Zinc,may,7.958403
Softgels,Zinc,may,1.342257
Tablets,Zinc,may,3.365601
Capsules,Zinc,may,8.761865
Powder,Zinc,may,0.82011305
Other,Zinc,may,0.046147
Gummy,Selenium,may,0.220017
Softgels,Selenium,may,0.053594
Tablets,Selenium,may,1.780712
Capsules,Selenium,may,1.941333
Powder,Selenium,may,0.054954
Other,Selenium,may,0.032966
Gummy,L-Theanine,may,0.037349
Softgels,L-Theanine,may,0.007276
Tablets,L-Theanine,may,0.01452
Capsules,L-Theanine,may,2.8278
Powder,L-Theanine,may,0.358432
Other,L-Theanine,may,0.035362
Gummy,COQ10,may,1.149649
Softgels,COQ10,may,3.64026
Tablets,COQ10,may,0.591793
Capsules,COQ10,may,2.7068
Powder,COQ10,may,0.0
Other,COQ10,may,0.017571
Gummy,BHB_rasp_ketones,may,0.004715
Softgels,BHB_rasp_ketones,may,0.080579
Tablets,BHB_rasp_ketones,may,0.0
Capsules,BHB_rasp_ketones,may,1.614821
Powder,BHB_rasp_ketones,may,1.146606
Other,BHB_rasp_ketones,may,0.178746
Gummy,MCT,may,0.002102
Softgels,MCT,may,0.317263
Tablets,MCT,may,0.0
Capsules,MCT,may,0.31204
Powder,MCT,may,1.94821
Other,MCT,may,0.0
Gummy,Green_coffee,may,0.028943
Softgels,Green_coffee,may,0.0
Tablets,Green_coffee,may,0.103094
Capsules,Green_coffee,may,0.588519
Powder,Green_coffee,may,1.093586
Other,Green_coffee,may,0.0
Gummy,Green_tea,may,0.006927
Softgels,Green_tea,may,0.061591
Tablets,Green_tea,may,0.119769
Capsules,Green_tea,may,4.304752810952381
Powder,Green_tea,may,1.291531
Other,Green_tea,may,0.005602
Gummy,Garcinia_cambogia,may,0.028943
Softgels,Garcinia_cambogia,may,0.007445
Tablets,Garcinia_cambogia,may,0.047396
Capsules,Garcinia_cambogia,may,0.409857
Powder,Garcinia_cambogia,may,0.06812
Other,Garcinia_cambogia,may,0.0
Gummy,L-Carnitine,may,0.0
Softgels,L-Carnitine,may,0.035327
Tablets,L-Carnitine,may,0.21108264999999998
Capsules,L-Carnitine,may,2.033634767777778
Powder,L-Carnitine,may,1.596088177142857
Other,L-Carnitine,may,0.019572
Gummy,Kava,may,0.0
Softgels,Kava,may,0.0
Tablets,Kava,may,0.0
Capsules,Kava,may,0.139541
Powder,Kava,may,0.12575364
Other,Kava,may,0.052632
Gummy,Lutein,may,0.052709
Softgels,Lutein,may,2.6819134699999996
Tablets,Lutein,may,0.790687
Capsules,Lutein,may,1.223712
Powder,Lutein,may,0.0
Other,Lutein,may,0.013022
Gummy,Saw_Palmetto,may,0.017072
Softgels,Saw_Palmetto,may,0.35868
Tablets,Saw_Palmetto,may,0.338959
Capsules,Saw_Palmetto,may,2.174129
Powder,Saw_Palmetto,may,0.094028
Other,Saw_Palmetto,may,0.017724
Gummy,Berberine,may,0.0
Softgels,Berberine,may,0.0
Tablets,Berberine,may,0.031494
Capsules,Berberine,may,0.860795
Powder,Berberine,may,0.00452
Other,Berberine,may,0.002732
Gummy,Ginkgo_Biloba,may,0.0
Softgels,Ginkgo_Biloba,may,0.030442
Tablets,Ginkgo_Biloba,may,0.402963
Capsules,Ginkgo_Biloba,may,1.5993956433333334
Powder,Ginkgo_Biloba,may,0.349203
Other,Ginkgo_Biloba,may,0.025218
Gummy,Enzymes,may,0.04416
Softgels,Enzymes,may,0.074187
